Sentence	Tokens
وبحلول عام 2007, وفي عز رواجه (ورواج نايتلي ربما), كان الاسم من بين أكثر 50 اسماً رواجاً, وكان الأطفال الذين يحملون اسم Keira أكثر بثلاث مرات منمن يحملون اسم Kiera.	49
ظنت الشركة الكورية في البداية أن اللوم يقع على عاتق خطأٍ في البطارية, واستبدلت بطارياتها الخاصة لتحل محل بطاريات الشركات الموردة.	29
أشار العديد من المحللين أن هواوي في موقعٍ مثاليٍ للاستفادة من كبوة سامسونغ.	20
تفتقد هواتف "ميت 9" واجهة ذكاء صناعي تفاعلية مثل "غوغل أسيستانت" و "سيري" الخاصة بآبل.	26
لكن أحد خبراء السفريات نبه إلى أن الإنترنت خلال رحلات الطيران كان لا يعول عليه وكان من المستبعد أن يؤثر على اختيار المسافرين لشركات الطيران.	27
لكن قد يكون الأمر أن الخطوط الجوية البريطانية ومجموعة الخطوط الجوية الدولية (آي إيه جي) قررتا الانطلاق وتقديم شيءٍ يمكن الاعتماد عليه بعض الشيء.	29
قالت الشركة للبي بي سي أن أن المسؤولية تقع على عاتق كل شركة طيران لتحديد ما إذا كانت ستتقاضى رسوماً على استخدام الإنترنت.	27
قد يجد أغلب الناس أن "الواي-فاي" في المطارات أكثر فائدة من القدرة على إرسال الرسائل الإلكترونية داخل الطائرات.	24
أحياناً يكون أشبه بقوة عظمى.	8
يجني المشروع أمواله من خلال عقود الرعاية والإعلانات.	10
ستكون الدورة التي ستستمر مدة 10 أسابيع مصرحة من قبل الوكالة الاستخبارية البريطانية (مكاتب الاتصالات الحكومية البريطانية).	21
لكن بعض خبراء الأمن أثاروا تساؤلات بشأن الحاجة لهذه الدورة والغاية من ورائها.	15
لم ير الطائرات من قبل سوى بعض المدونين.	10
بطبيعة الحال, ستعرض الصين هذا الأسبوع العديد من القطع العسكرية الأخرى, من مروحيات هجومية وطائرات مائية.	21
ومع تأهب الصين لتكون أكبر سوقٍ في مجال الطيران في العالم خلال العقد المقبل, يشكل هذا المعرض فرصةً لبكين لتظهر طموحاتها في مجال الطيران المدني إلى جانب العكسري.	36
كتب جيسي لابروكا, مؤسس موقع "هاك فوروم" في رسالةٍ يشرح فيها سبب إقفال القسم: مجدداً للأسف, تفسد القلة الأمر على الكثرة.	33
من المرجح أن "الأحداث الأخيرة" هي هجمات 21 تشرين الأول والتي أوقفت عمل مواقع رائجة مؤقتاً مثل "ريديت" و"تويتر" و"سبوتيفاي" وغيرها.	39
تكشف التحليلات أن كميات تاريخية من البيانات كانت تستخدم لإحداث الاضطراب.	13
يقول تقرير الأمم المتحدة عن الخطط الوطنية للحد من انبعاثات الكربون أنها أقل من المستوى المطلوب للحفاظ على ارتفاع حرارة الأرض بمقدار أقل من درجتين مئويتين.	27
يقول العديد من العلماء أنه لا ضرورة إلى تقنيات تزيل الكربون من الجو من أجل تحقيق أهداف قمة باريس للمناخ.	21
قال إيريك سولهايم, رئيس برنامج الأمم المتحدة للبيئة: "نحن نسير على الدرب الصحيح. اتفاق باريس سيبطئ من التغير المناخي, كما أن تعديل كيغالي سيخفض من انبعاثات مركبات الكربون الهيدروكلورية فلورية".	40
ارتفعت الاستثمارات في هذا المجال ارتفعت بنسبة 6% عام 2015 لتصبح 221 مليار دولار أمريكي.	18
من الرائع أنهم توصلوا إلى اتفاق باريس, لكن إسهاماتهم في الوقت الحالي بعيدة كل البعد عن هدف الوصول إلى ارتفاع بمقدار درجة ونصف مئوية.	28
أجريت قبالة السواحل المكسيكية ما بين شهري نيسان وحزيران.	11
سيضع هذا قيوداً جديدة على طبيعة التغيرات المناخية التي ضربت كوكب الأرض وجلعت الكثير من الكائنات الحية ـلا الدينصورات فقطـ تنقرض.	30
من المرجح أن هذه المادة النيزكية غنية بعنصر الإيريديوم.	14
فقط 70% من النباتات التي زرعت من البذور الأرضية كانت حية بعد 17 يوماً, وهذه نسبة أكبر قليلاً من النباتات التي زرعت من البذور الفضائية والتي بلغت 66%.	32
تقدم النتائج المستخلصة من هذه التجربة تأكيداً إضافياً على أنه يمكن نقل البذور الصاروخية وتخزينها في المحطة الفضائية الدولية لمدة ستة أشهر من دون أن يكون لذلك أي تأثيرات كبيرة على قدرتها على الإنبات والنمو على الأرض.	42
جمعت الجمعية الملكية للبستنة تعليقات أرسلت من قبل تلاميذ ومدرسين شاركوا في التجربة.	17
وتقول: "لا يزال عامل القرف مخيماً على فكرة شراء وارتداء أجزاءً من جسد شخصٍ آخر".	23
وتشرح تارلو: "عادةً ما يتم في الصين وضع الشعر في أحواضٍ كيميائية لإزالة أي أثرٍ للقشور الجلدية".	26
تقول تارلو: "على مر التاريخ, كان لسوق الشعر دوماً بعداً سياسياً".	19
ويقول التقرير: "نطبق اليوم عقوبات باستخدام ضوءٍ قوي".	14
وقد طبقت شرطة مرور شينجن عقوبات غير تقليدية قبل ذلك.	12
من يكونون؟	3
الكثير من النقاش عند الجانب الديمقراطي يدور حول هوية الذكر الأبيض.	12
سألتها بعد ذلك إن كانت تفهم السبب الذي قد يدعو الناس للتصويت لصالح ترامب.	17
لا يمكن للجميع أن يترفعوا عن الأمر.	10
يقول بال: "لحسن الحظ, قال أحدهم في سوني أستراليا: 'بالمناسبة, هل لاحظتم هذا؟'".	25
تصدر سيغال عنواين الصحف عندما وصف تحرك روسيا في شبه جزيرة القرم عندما ضمتها عام 2014 بالمعقول جداً.	23
عازف جيتارٍ موهوب, وقد عزف في حفلٍ هناك في ذات العام.	17
قام سيغال التي كانت جدته من مدينة فلاديفوستوك في أقصى شمال روسيا بزياراتٍ متكررة لروسيا خلال السنوات الأخيرة, وزار كامشاتكا وسخالين في أيلول الماضي.	36
حصل سيغال في وقتٍ سابق من هذا العام على الجنسية الصربية بعد أن عرض تأسيس مدرسة فنون قتالية في العاصمة بلغراد.	24
وقال متحدثٌ باسم الشرطة لوكالة أسوشييتد برس أنه حدث "تبادل للألفاظ" تبعته مشاجرة, لكن لم تسجل إصابات.	31
يقال أن كوارون, الذي فاز فيلمه الأخير "غرافيتي" بعدة جوائز أوسكار, لم يكن في موقع التصوير وقت الحادثة.	28
بحسب إدارة شرطة المدينة أن شجاراً نشب بعدما وصل "مجموعة كبيرة من الناس... عرفوا عن أنفسهم بأنهم من السلطات المحلية" إلى موقع التصوير يوم الثلاثاء.	32
يدرس الباحثون إمكانية صنع موانع حمل هرمونية خاصة بالذكور منذ نحو 20 عاماً.	17
وأضاف: "إنها خطوة واحدة في طريقٍ طويلٍ للعثور على التركيبة الصحيحة لموانع الحمل الهرمونية الخاصة بالذكور.	25
غير أن هناك العديد من أعضاء الهيئة التشريعية ممن يحملون معتقدات دينية راسخة ويعارضون أي تشريعٍ جديد.	21
يقول الباحثون أن تحليل الحمض النووي الريبي منقوص الأكسجين الخاص بالورم قد يساعد على تفسير الأسباب الكامنة وراء أنواعٍ أخرى من السرطان.	26
ويظهر التحليل وجود صلة مباشرة بين عدد السجائر التي يدخنها المرء في حياته وعدد الطفرات التي أصابت الحمض النووي الريبي منقوص الأكسجين الخاص بالورم.	30
ومع ذلك, لم يتمكنوا من العثور على ذات النسق في أنسجة مثل المثانة, والتي لم تتعرض بشكل مباشر.	22
تلقت الآنسة بيو العلاج في مستشفيي بابوورث وآدنبروك في كامبريدجشير.	20
لكن الفحص أظهر أن الورم في رئة الآنسة بيو اليمنى يكبر, فكان عليها أن تترك التجربة.	19
إذا ما أصبح ترامب رئيساً, سيظل على الحكومة هنا العمل معه لدفع جدول الأعمال المشترك أياً كان لضمان أن الشركات والمصالح الكندية ممثلة في واشنطن.	29
وسوف يوجه ترودو تلك الدعوة إلى الرئيس الخامس والأربعين للولايات المتحدة بصرف النظر عنمن سيكون.	19
بالرغم من نشر صورة هذا الصباح, تقول شرطة بريتيش كولومبيا أن لديهم أسئلة أكثر مما لديهم أجوبة بشأن رجلٍ متشرد اتهم بطعن فتاة مراهقة حتى الموت في مدرستها مدرسة آبوستفورد الثانوية.	41
قالت شرطة بريتيش كولومبيا في وقتٍ سابق أنه لا يبدو أن لدى كلاين تاريخاً إجرامياً ونشرت تفاصيل مبهمة عن أماكن وجوده في الفترة الأخيرة.	29
قالت: "لا نعتقد أن للمشتبه به علاقةً بهذه المدرسة أو بالفتاتين أو بمنطقة آبوستفورد بالتحديد".	23
قال أيضاً أن كلاين كان كتوماً وغير متعاون وغير راغب بأن يخرج من زنزانته الموجودة تحت المحكمة لحضور جلسة محاكمته.	25
تقول الجمعية التي تمثل وكلاء العقارات في أونتاريو أن هناك الكثير مما يجب فعله لحماية الزبائن ومعاقبة الوكلاء الذين انخرطوا في سلوكٍ منافٍ للأخلاق.	30
كما أنه يرغب أن يرى سلطاتٍ وصلاحياتٍ أكبر لمجلس العقارات في أونتاريو (ريكو) والذي ينظم عمل الوكلاء في المقاطعة.	24
في الوقت الحالي, فإن أكبر غرامة يمكن لمجلس (ريكو) أن يفرضها على أحد الوكلاء لا تزيد عن 25000 دولار.	24
لكن الطبقة الوسطى المتنامية في الصين بدأت برفع الصوت عالياً بشكلٍ غير معتاد في شكواها بشأن الأجواء السامة في المدن مثل بكين, والتي تبرز يوماً بعد يوم من خلال الضباب الدخاني الخانق للرئة.	42
وقال غويلبيو: "نشهد العديد والعديد من الدول, وخصوصاً الدول الكبيرة الجديدة المسببة للانبعاثات مثل البرازيل وجنوب أفريقيا والهند والصين, تشارك في لعب أدوارٍ في تقليل الانبعاثات".	37
يمكنه الانتظار حتى نهاية فترته الأولى من أجل استغلال بندٍ في اتفاقية قمة باريس للانسحاب منها.	20
في الوقت نفسه, تسعى كلينتون وحلفاؤها إلى إبقاء الأضواء مسلطة على ترامب, وعلى تصريحاته التي تحط من قدر النساء والأقليات, وشخصيته التي تجعله غير مؤهل للمنصب.	36
ليس هذا ما نحتاجه لبلادنا يا قوم.	9
ظهرت زوجة ترامب, ميلانيا ترامب, لأول مرة في الحملة منذ مؤتمر الحزب الجمهوري في تموز.	22
يقابل الطلاب أمثال راي مستشارين نفسيين في المدرسة من أجل الحديث عنما حدث, لكنها تقول أن السلوى الأكبر تأتي من رؤية أصدقائها.	28
قالت ميليس خلال مقابلة يوم الخميس مع قناة سي بي سي نيوز: "وهذه كارثة بالنسبة للمرضى المتألمين".	23
قالت ميليس: "لا يملك الأطباء تلك الأدوات, لديهم فقط كراس للوصفات الطبية وحقنة".	20
بدأ مدير التحقيق المستقل الخاص بشرطة أوتاريو جيري مكنيلي تحقيقه هذا الأسبوع بعد أن طرحت "أسئلة مقلقة" عن كيفية تعامل ضباط الشرطة مع السكان الأصليين.	32
يمر التحقيق أيضاً على المنشورات التحريضية في فيسبوك منذ شهر أيلول والتي يزعم أنها تصدر عن ضباطٍ شرطة في المدينة الواقعة شمال أونتاريو.	27
تلقى المديرون التنفيذيون أيضاً ما يسمى الدفع المرتبط بالأداء لقاء النجاح أو تجاوز التوقعات بحيث يتشاركون فيما بينهم مبلغاً وقدره 1,5 مليون دولار, أو ما يقدر ب15000 دولار كمعدل لكلٍ منهم.	43
تفوق ميزانيتها السنوية 1,4 مليار دولار, ويعمل فيها أكثر من 6000 موظف.	18
أعلنت الحكومة الفدرالية استباقياً عن الدفع المرتبط بالأداء ومستويات المكافآت لكل وزارة, لكن آخر منشور على الإنترنت يعود إلى 2013-2014, أي منذ عامين.	30
بلغ مجموع الدفع المرتبط بالأداء والمكافآت لذلك العام 1,5 مليون دولار, وهو ذات مجموع 2015-2016.	21
وقال غوميري الذي قاد لجنة التحقيق الخاصة بفضيحة الرعاية الاتحادية بين عامي 2004 و2006 أن هيئات كهذه ضرورية للمساعدة في استعادة ثقة الجمهور في سيادة القانون.	33
وقد أدى ذلك خلال اليومين الماضيين إلى اكتشاف أن ستة صحفيين آخرين من كيبيك كانوا هدفاً لعمليات مراقبة قادتها الشرطة المحلية.	23
وكتب في دليل الإرشادات: "لا يجب أن يكون هنا معاملة تفضيلية للحكومة أو أي مظهر من مظاهر المعاملة التفضيلية للأفراد أو المنظمات بسبب تقديمهم لتبرعات مالية للسياسيين أو للأحزاب السياسية".	37
حكم القاضي في قضية دافي الخاصة بالاحتيال وخيانة الأمانة بأن أفعاله كانت ضمن قوانين المجلس عندما دفع كل التهم عن دافي.	25
باتت هواتفنا المحمولة أكثر من مجرد هواتف هذه الأيام.	12
علقت إحدى مشتركات نظام الإنترنت غير المحدود من شركة ساسكتل قائلةً: "هذا مذهل".	20
أشار أيضاً أن شركة روجرز طرحت مؤخراً تطبيقاً جديداً يساعد العملاء على مراقبة مدى استخدامهم للإنترنت.	23
هذا ما يجعلنا نعود من أجل المزيد.	8
وتتزامن هذه التقديرات مع النسب المئوية للشقق الجديدة التي تدخل سوق الإيجارات عند انتهائها, مما يدل على الدور المهم الذي يلعبه المستثمرون (المحليون) في خطة النمو في سوق العقارات.	37
يقول ديتريش من مقر الشركة في دنفر, كولورادو حيث يباع الحشيش بشكلٍ قانوني: "تساعد هذه السلالة على التخفيف من آلام الظهر, كما تساعد على التخفيف من الغثيان, ويجعلك هذا المنتج تنام في الليل".	47
لكن من دون إطارٍ تشريعي ومع الفكرة العميقة عن الحشيش كعلاج شعبي لتعديل المزاج, تركت الشركات في حيرة من أمرها.	24
الحديد عنصرٌ أساسي يحتاجه الجسم لإنتاج خضاب الدم وهو البروتين الموجود في كريات الدم الحمراء والمسؤول عن نقل الأكسجين إلى أنسجة الجسم.	27
فترة الانتظار الحالية هي ثمانية أسابيع.	7
تقول منظمة خدمات الدم الكندية (سي بي إس): "من الممكن للمرء أن يكون لديه مستويات طبيعية من خضاب الدم, لكن مع نقصٍ عام في الحديد".	33
إرشادات الحديد الجديدة تعني أن هناك حاجةً للمزيد من المتبرعين.	13
ما بدأ كتصوير روتيني بالموجات الفوق صوتية انتهى بأمرٍ شديد التعقيد عندما أبلغت الأم الحامل مارغريت بويمر من بلانو, تكساس أن جنينها الذي لم يولد بعد يعاني من حالة نادرة ويحتاج إلى عملية جراحية ليعيش.	44
الورم المسخي في العجزية العصعصية هو ورمٌ ينشأ قبل الولادة وينمو من عصعص الجنين.	24
هذا أكثر الأورام شيوعاً عند الأجنة, ويظهر في واحدٍ من كل 35000 مولود.	18
كانت في الـ84 من عمرها.	7
وصفها بأنها امرأة "مذهلة" و"محبة ورائعة" تركت بصمتها في عالم الأدب من خلال قصصها.	27
قالت ليف في مقابلة أجريت معها مؤخراً: "بعض الرجال يتمتعون بذلك وبونو أحد أولئك الرجال".	19
لم تتجاوز العشرين من عمرها فحسب, وها هي صوتٌ قويٌ ضد البلطجة ومع مساعدة الفتيات على تبني معاييرهن الخاصة للجمال.	27
قالت ليف: "دار صوتها حول العالم حرفياً".	10
ما أن نشرت الصور الرمنسية للحفلة, عجت مواقع التواصل الاجتماعي بالتعليقات, التي لم تكن إيجابية.	22
يرى الكثيرون بما فيهم مجموعات السكان الأصليين أنهم يستهينون بثقافة الأمم الأولى في كندا.	18
هدف هذه الجلسات للجنة الإذاعة والتلفزيون والاتصالات الكندية هو تطويق ردود الجمهور والجهات المعنية في القطاع.	18
وهذا لا ينطبق فقط على المحتوى الترفيهي, بل أيضاً على التعليم, والأبحاث العلمية, وـربما هذا الأهمـ على الخطاب السياسي.	29
على كل حال, الإنترنت ليس رفاهية, بل ضرورة.	11
وشكل الحطام حلقةً حول خط الاستواء الأرضي وتجمع في نهاية المطاف بفعل الجاذبية ليشكل القمر.	18
ومع ذلك, ظلت هناك أسئلة بلا إجابة.	9
في بلدة هيلزبورو, الواقعة على تخوم مدينة تشابل هيل, ألقى أحدهم قنبلة حارقة على مقر الحزب الجمهوري الشهر الماضي.	27
بعد أن مررت ولاية كارولينا الشمالية مشروع قانون تقييد حرية التصويت عام 2013, دار كامبل على الكنائس ليعلم الناس كيفية التعامل مع الصعوبات التي تواجه تسجيلهم.	29
يمكنه كشف تأثيرات الانتخابات حوله مع انفجار النزاع والتقاطع الغريب بين الأفكار الجديدة والقديمة.	18
التعارض بين البيانات الاقتصادية والخطاب السياسي أمرٌ مألوف, أو ينبغي أن يكون كذلك.	18
يحذر الاقتصاديون في الجمهوريين من أخذ هذه البيانات كدليلٍ على أن سياسة حزبهم الاقتصادية سيئة.	20
لا أعرف كيف كان نمو الناتج المحلي الإجمالي خلال إدارتي الرئيسين واشنطن ولينكولن, لكن كان للتطورات المؤسسية خلال تلك الفترتين تأثيراتٌ طويلة الأمد.	28
أوجه الاختلاف بين سولا وترامب, وبين روما والولايات المتحدة, أكثر من أوجه التشابه, لكن هذا لا يمنع من وجود تشابه.	27
وقد اعترفت قائلةً: "عليكم بالنظر إلى ما أقرت به بأننا نحتاج إلى شيءٍ مختلف ـيمكننا أن نقوم بعملٍ أفضلـ وإلى أنها أعربت عن أسفها".	32
لكن عندما أصبحت الانتقادات الموجهة إلى كلينتون كسيدة أولى لاذعة أكثر, غدت كاريل أكثر تعاطفاً.	21
شرح جون دي دومينيكو الذي يمثل شخصية دونالد ترامب قائلاً لمجلة سليت: "عندما ألعب دوره, أشعر بالقوة".	26
مع اشتداد هستيريا انتخابات عام 2016, يشغل بال كاريل تهديداً أكثر إزعاجاً من هذا الهراء.	23
هم عادةً فنانون يرغبون بفعل عدة أشياء.	10
ثم ينتهي الإعلان.	4
كان منتجو موسيقى ميامي بيس غير مهتمين بالمؤخرات المهتزة, وهذا قلقهم الأساسي.	18
في مقابلة أجريت مؤخراً, شرح زاي وزايون تسجيل نسختهما من أغنية "ناك إف يو باك" على جهاز حاسوب محمول منزلي.	27
لكن التحديات, والأغاني التي تحدثها, تضيف جهازاً عصبياً مترابط ويمكن تتبعه إلى حلقات الفيديو القصيرة الخاصة بالرقصات.	26
يؤكد إحياؤها استئناف التحدي الكبير, تحدٍ فني أو غير ذلك: إزعاج ونمو وارتباطٌ ذو مغزى.	23
رأى أفلاطون أن تسليم السلطة إلى أوصياء متعلمين كما يجب أكثر أماناً.	18
مثل الكثيرين منمن أعرفهم, قضيت الأشهر الأخيرة ساهراً حتى أوقاتٍ متأخرة أقرأ استطلاعات الرأي برعب.	22
يرفض كابلان التصويت بأثر رجعي, وينقل عن باحثين يصفان الأمر بأنه "لا يزيد عقلانية عن قتل الفرعون عندما لا يفيض نهر النيل".	31
لكن لم يكن لديها شيءٌ آخر خلاق فيها أو في سلوكها تجاه الآخرين.	16
عام 2010, أصدرت المؤسسة نسخة منضدة ومطبوعة من رواية "تسيتيلز تراوم", مزيلةً العوائق من أمام أولئك الذين عجزوا عن قراءة النسخة الأشبه بمسودة والمطبوعة عن طريق التصوير.	42
من خلال محادثة وودز عبر البريد الإلكتروني, حاولت أن لأول مرة أن أكشف عن أصول الكلمات.	19
ذكرت زوجته أليس: "كان يهمل صحته بشكلٍ كامل".	13
كل خريطة في المعرض تروي قصتها الخاصة, وليست كلها واقعية.	13
كما عرضت لأول مرة خرائط خاصة بوزارة الدفاع البريطانية التي تخيلت معارك الحرب الباردة والتي كانت تستخدم في امتحانات الكلية الحربية.	22
تقع الدائرة في مقاطعة نورث كيستيفين, حيث دعم 62% من المقترعين الخروج من الاتحاد الأوروبي.	22
مهارته في الحصول على إجابات من أجل دافعي الضرائب ستفتقد بشدة.	14
سيخوض كريستيان وولمار الذي ألف عدة كتب عن تاريخ السكك الحديدية غمار المنافسة في 1 كانون الأول.	20
يأمل حزب الديمقراطيين الأحرار الذي كان يمثل الحي الراقي حتى عام 2010 أن ينتزع المقعد مجدداً من خلال مرشحته سارة أولني.	29
في الوقت نفسه, أطلقت الزوجة المنفصلة عن مسؤولٍ حكومي حملتها الانتخابية للفوز بالمقعد.	17
كان لطيفاً إلى أقصى حد, وتقبل الأمر كالرجال, غضبي يتجاوز الحدود.	16
أكثر من 330 فرداً من الطاقم موجودون على متن السفينة.	12
أشار فيغا أنه بسبب أعمارهم الصغيرة, لن يكون الكثيرون منهم ملمين بتاريخها.	18
يقتل الناس هناك.	5
ستتوقف محطة الكهرباء التي تعمل بالفحم في باداربور جنوب شرق دلهي عن العمل لمدة 10 أيام, إلى جانب المولدات التي تعمل بالديزل في المدينة.	31
قضى أربع سنوات في إذاعة بي بي سي وورلد سيرفيس في مبنى بوش هاوس.	17
عمل لصالح بي بي سي لعقدٍ من الزمان.	10
حوى أحد منشوراتهم الفيسبوكية الحزينة على عبارة من شأنها أن تسعد كريس: "لم أعرف شخصاً أفريقياً أكثر منك".	26
من بوسعه إيقاف منتخب أستراليا هذا؟	7
هل بات حقهم الإلهي بارتداء عباءة أفضل فريقٍ في العالم غير مضمون؟	16
أمامهم عائقٌ واحدٌ للخلاص, التغلب إلى إنجلترا.	14
بات منتخب جنوب أفريقيا في نقطة اللاعودة وعلينا أن نكون قادرين على مجاراة رغبتهم.	17
لديه تلك الشراسة في اللعب, لكن يديه لطيفتان أيضاً.	14
لدينا فريقٌ رائع وإنها فرصةٌ بالنسبة إلينا لننطلق بسفينتنا.	15
عليك أن تقف في وجه ذلك وأنا أفضل أن يجري باتجاهي بدلاً من أن يلتف حولي.	20
بدا كما لو أنه ينقل الكرة ذهاباً وإياباً تحت ثلاثة أكواب مقلوبة.	17
كان المنتخب الأسترالي, الذي تمرس خلال مبارياته الأخيرة في بطولة الرغبي, أقوى وأسرع.	19
فوز دونالد ترامب سيثير قلق العالم مباشرة ويجعله أكثر اضطراباً مما هو عليه الآن.	19
السيدة كلينتون معروفة بطبيعتها المتشددة, لكن هذا سيخفف من قبل الرأي العام في الولايات المتحدة الذي أنهكته الحروب.	23
إنه يتحدث مؤيداً التعذيب.	6
أنا أيضاً أعاني مع كلمات المرور.	8
ثم هناك قصص يزعم أنها حقيقية تنشر برفقة سلسلة من الصور ذات المغزى التي تضم نصوصاً متحركة تحتها.	20
بالطبع, أنا أدرك تماماً أن علينا فصل ألمانيا المعاصرة عن النظام النازي.	15
في الركن تقف فتاةٌ ترتدي غطاء رأس وبنطال جينز وتبدو شديدة التواضع وأظن أن هذا أمر مساعدٌ آخر.	23
يتواصل الفنانون مع الناس بقلوبهم, إنها المرة الوحيدة التي نلتقي فيها في مكانٍ واحد وننحي خلافاتنا جانباً.	26
تتضمن جوائزه الأكثر غرابة جائزة السفير العالمي لهيئة الصحة والمستشفيات في مدينة نيويورك, ومقعد في كلية هارفرد للأعمال.	24
يمكنني فعل ذلك في حياتي اليومية.	7
أردت مشاهدته معهم, لكنهم قرروا في نهاية المطاف أنهم يريدون مشاهدته من دوني.	15
لا يمكننا أن نسمح للرئاسة أن تؤول إلى دونالد ترامب, إلى شخصٍ بهذه العنصرية وبهذا التمييز ضد النساء وغير مؤهل بتاتاً ليكون القائد الأعلى.	29
أعدادٌ متزايدة من الناس يتوجهون إلى الائتمان... فيما قد يكون من الممكن السيطرة على هذا الاقتراض الآن, فإن أي تغيير مفاجئ في الظروف قد يقود إلى مشاكل متعلقة بالديون.	35
وسببها هو أنها لا توفر الحماية الكافية للعمال الأمريكيين الذين قد تتأذى وظائفهم ومعيشتهم.	20
في هذا السياق, فإن شجب التجارة منطقي.	9
نظرياً, يمكن لزوجين أن يفتحا أربع حسابات "تسكو" وأن يكسبا 3% على 12000 جنيه إسترليني, أي 360 جنيه إسترليني.	31
في الوقت نفسه, فإن عملاء مصرف أسكتلندا يكسبون 3% على الأرصدة التي تبلغ ما بين 3000 و5000 جنيه إسترليني, عندما يضيفون خيال "الامتياز" المجاني إلى حساباتهم.	40
بهذا يمكنك من الناحية النظرية الوصول إلى أموالك وقتما تشاء.	12
تنطبق نسبة ال3% أيضاً على حاملي بطاقات "نكتار" الذين يتطلعون لاقتراض مبالغ ما بين 15001 جنيه إسترليني و19999 جنيه إسترليني خلال فترة تتراوح ما بين سنتين وثلاث سنوات.	41
الكبريت مادة مغذية مهمة للنباتات من أجل نموٍ صحي, لكن التربة في المملكة المتحدة تفتقر بشكلٍ طبيعيٍ إلى هذا المعدن المهم.	29
بالانتقال إلى عام 2016 ويلقى هذا المزيد من الاهتمام.	13
قد يثير الأمر الاستغراب, حتى غيوم الأمطار الحمضية لها فوائد.	14
