Sentence	Characters	Bytes
12月，委员会主席提出建议，必须采取若干步骤，才能确保该市建立能够为全体市民提供适当服务并实现经济增长的统一行政管理。	59	173
为此，适应委员会认为现有名册已经足够，必要时再重新考虑建立专家名册问题。	36	108
提高妇女地位：第三委员会的报告(A/67/450)[项目28]	31	65
本次级方案将支持和加强亚太经社会附属信息和通信技术委员会及减少灾害风险委员会，并以此为基础建立区域行动共识和一个行之有效的机制，为全球任务作贡献。	73	219
新制度将使妇女更有机会获得贷款。	16	48
他们长大后会知道我。 作为其唯一的主人，	19	57
东非环境管理议定书获通过，并在萨赫勒和南部非洲发展共同体（南共体）次区域重复适用。	41	123
(b) 加强两性平等和家庭部的有关能力，利用性别影响评估向拟定和实施两性平等领域的立法和政策措施提供资料，并向各级政府促进性别平等的预算编制提供资料，就此类措施提供咨询意见，进行协调和监测。	94	276
现任职务：最高法院刑事审判庭庭长、最高法院秘书长。	25	75
俄国审查机构已经封掉了连接到微信母公司腾讯的24个以上的IP地址。	33	91
高专办应政府请求，就任何新的国家机构恰当的宪法或立法框架，以及此种机构的性质、职能、权力和职责等，向政府提供实际咨询意见。	61	183
你 只 要 谨 慎 、 殷 勤 保 守 你 的 心 灵 、 免 得 忘 记 你 亲 眼 所 看 见 的 事 、 又 免 得 你 一 生 、 这 事 离 开 你 的 心 ． 总 要 传 给 你 的 子 子 孙 孙	53	159
13. 主席说，在与提交报告的八个缔约国进行建设性对话期间，委员会确定了缔约国打算进一步确保妇女享受人权和增强政府对其条约义务的遵守时必须处理的大量共同问题。	78	228
我来伸张正义 你不会懂的	11	33
- 谢谢你 爸爸!	7	17
4．如果被请求国有大量的理由认为是为了基于其种族、宗教、[性别]、民族或政治观点而对此人进行起诉或惩罚的目的而提出引渡请求或由于任何此种理由而损害此人的地位，则不应允许引渡(波兰经修订的草案第8条，第2款)。	104	298
13. 请会员国、有关联合国组织和其他有关行为体，确保人道主义应急行动的各个方面都顾及妇女、女孩、男子和男孩的具体需要，途径包括参考各国提供的现有信息等资料，更好地收集、分析和报告按性别和年龄分列的数据；	101	297
(a) 按照既定周转时间提供服务的比例提高	20	54
-只是需要多跟孩子谈谈心	12	34
专家组的工作应当依据国别审议报告内容提要以及本职权范围第34段所述由秘书处汇集的有关成功事例、良好做法、挑战、意见和技术援助需要的最为常见和相关的信息。	76	224
在2010年6月15日的第7条提交材料中，伊拉克看来表示，该国持有690枚储存的杀伤人员地雷。	47	119
- 谢谢 迪安	5	13
-我不叫你你就别进来	10	28
还以为你明天才回来呢	10	30
165. 随着以下有利条件的到位，商业界承认私营部门筹资同公共投资来源一样发挥作用。	41	115
392. 腹泻疾病的地理分布显示了存在所谓 " 热区 " 的证据， " 热区 " 系指高发病率区，如地拉那、都拉斯、培拉特、卡瓦亚、佩钦、爱尔巴桑、利布拉什德、库乔亚、波格拉德茨、代沃利、科洛涅、斯库台、莱什、拉齐、马蒂等区。	104	296
我来了，我来了	7	21
其原因是去掉了先前保证高度平等的各种因素，包括资产私有化，减少对工薪收入差异的限制和自谋职业(包括黑市)收入份额的上升(Milanovic, 1998；Cornia, 1996)。	88	206
可以把撒哈拉以南非洲地区的大部分农村人口视为小农。	25	75
平等问题监察员与民间社会的合作	15	45
当黑人也不犯罪	7	21
日间宵禁在日出时恢复	10	30
3. 南非代表团相信，南非单方面销毁所有过剩小武器的行动会树立一个榜样，显示预防、制止和消除所有方面的小武器和轻武器非法贸易的切实措施。	67	197
此外，还有保护妇女、儿童和残疾人的权利，以及消除种族歧视和禁止酷刑的其他协定和公约。	42	126
我要再次向阁下申明，联合国必须肩负起它的责任，使会员国加大努力，制止已成为以色列通常做法的国家恐怖主义政策，制止以色列持续违反联合国决议、国际法、国际人道主义法和最基本的人权原则的做法。	93	279
7. Abraham先生(法国)指出，法国代表团对关于国际组织责任的条款草案没有任何问题。	44	110
因此技术性秘书处应同其各自委员会的主席团密切合作，以提高会议资源的利用率。	37	111
妳还是离我远一点吧	9	27
市内多处被罗马人烧毁	10	30
梅塔-瓜维亚雷地区减少最为明显，但所有主要种植地区均有所减少。	31	91
是真的 哈丽特姑妈	8	24
你缺的不是儿女	7	21
你根本不知道自己是什么样的人！	15	45
过去18年所做的努力让儿童权利引人瞩目。	20	56
此外，在许多国家（包括法国、爱尔兰和葡萄牙 ） ， 为了给财政赤字融资，政府还把手伸向了养老基金。 英国也即将采取类似措施 ， “ 允许”地方政府养老基金投资基础设施项目。	79	237
鳞石不属于人间 属于哪？	11	33
我只是说你一般在这个时候不会来	15	45
看在三选议员的头衔上 我这次忍了	15	45
好好的思过	5	15
生物能源，农村发展一个充满希望的工具	18	54
墨西哥：第四次定期报告	11	33
长期以来，由于在为寻求正义的被强奸者提供支助方面的记录良好，妇女防止强奸行为组织在公众当中树立了良好的形象。	54	162
无论如何，很难看出该规定符合公约，因为它只包括非常有限范围的潜在受害人：嫌疑人、被告、证人、受害人或刑事诉讼的其他当事人(服刑的犯人或其近亲属)。	73	215
他们向执行局保证，开发署以加强其区域存在为目标，尽管有此失衡情况，仍致力于维护其在所有国家的战略方案存在，并协助最不发达国家和中等收入国家两者。	72	216
20时30分,Iqlim al-Tuffah高地遭到以色列部队的间歇炮击。	36	70
托芙 怎么了？	6	18
原来如此	4	12
什么他吃了全镇的人？	10	30
继续找，他一定在人群里面	12	36
这件怎么样 大卫？	8	24
我会尽量拖延	6	18
《2013年世界经济形势与展望》报告认识到经济困境从发达国家蔓延到发展中国家，并预测今后两年将充满不确定性和风险。	57	163
我们的经济急速上升 有统计为证	14	42
21. 保留遭受大量反对的例子还有很多，最终结果都是保留方通常在相当长一段时间之后，撤回或修改这些保留。	51	147
29. 发展中国家在全球治理中缺乏代表性导致了一种从上至下的发展方针和政策，同时，决策中心与接受国及其人民一直脱节。	57	165
47. 应计负债是福利现值中从职工受雇工作之日到估值之日累计的部分。	33	93
国际合作在补充国家努力方面可以发挥关键作用。	22	66
按照其条约义务，厄立特里亚就《儿童权利公约》和《消除对妇女一切形式歧视公约》的执行情况向各自委员会提交定期报告。	56	168
2009年1月21日，一架CN-235和两架美洲狮土耳其军用飞机四次违反国际空中交通管制条例，并四次侵犯塞浦路斯共和国领空。	62	160
69. 77国集团不仅为联合国系统提供了有关传统发展问题的核心成分，也给全球谈判桌带来了新的概念，例如发展权，以及国家对植物和动物遗传资源的所有权。	73	209
这些负债已通过对以往年度支出的调整进行记账，并在工作人员福利基金中显示。	36	108
" D2 " 专员小组就损失为10万美元以上的	20	48
(c) 候选人提名委员会将为特定职位挑选一名适当的非洲候选人并上报大使集团，然后由大使集团指定该特定候选人为非洲挑选的唯一候选人；	64	186
合同日期为1989年9月29日，尽管Koncar称，设备是1989年12月至1990年7月期间交货的。	51	105
也许他明白 你宁愿做任何事 也不愿意承认你人生的这部分已经完了	29	87
135. 外交部的护照和领事事务处同隶属国家警察的预防和调查恐怖主义秘书处、移民局、以及外国驻巴拉圭的外交使团等经常合作和交换情报。	65	187
网球是喜欢做爱。	8	24
听说武术和射击样样精通	11	33
例如在安圭拉和托克劳，就缺乏这种认识。	19	57
你能修复它吗?	7	19
一起来远航	5	15
对 她今天参观校园	8	24
进入语音信箱请按一	9	27
39. 开发署告知审计委员会，由于增强妇女权能和性别平等专题具有贯穿各领域的性质，在尼日利亚、菲律宾和特立尼达和多巴哥的国家办事处，这些专题活动被纳入了其他项目。	80	234
我们还积极参与关于控制火器、弹药及其他有关材料的南共体议定书的谈判，以及国民议会通过的关于私人公司的安全的第19/92号法的通过。	65	185
那么请两位在这里稍等一下	12	36
因此，美国违反了特定规则。	13	39
即"荞麦面馆事件" 和"便利店事件"	17	43
虽然它们具有十分不同的作用（小组是咨询机构，而会议则是全球施政的谈判论坛），但实际上有一些共同点。	49	147
我们认为他一定有重大的阴谋	13	39
万一她遇到了坏事怎么办？	12	36
放音乐吧 拜托	6	18
7. 决定请秘书处将归还住房和财产原则(E/CN.4/Sub.2/2005/17)和对原则的解释性说明(E/CN.4/Sub.2/2005/17/Add.1)转交消除种族歧视委员会和其他条约监督机构和区域人权机构，以确保将它们广泛散发。	117	247
它可以同意检察官依据职权根据从任何来源，包括非政府组织来源的资料展开调查，如第12条所规定的那样。	49	143
前线认为，批评军方的记者和人权维护者或被视为同情共产主义运动的人，也属于受迫害对象。 前线还指出，某些人权维护者被平民和军事领导人指控为共产主义暴乱者或 " 国家公敌 " ，而处境危险。	88	260
委员会还要求他特别注意土著妇女和儿童权利受到侵犯的问题，同时还要考虑男女平等观点，以及反对种族主义、种族歧视、仇外心理和相关的不容忍现象世界会议就他的任务提出的建议。	83	249
现在偷吉姆的想法	8	24
44. 由大会设立并由开发署管理的基金包括资发基金和妇发基金。	30	84
想想瑟斯顿·豪厄尔三世和金杰同居时候的样子	21	62
为证明这项索赔而提交的发票表明，Hidrogradnja是按到岸价格购买设备的，就是说，运费和保险费已包括在原始购买价格中。	62	162
上午10:30 大不列颠及北爱尔兰联合王国首相托尼·布莱尔先生阁下、尼日利亚总统奥卢塞贡·奥巴桑乔先生阁下以及艺术家Bob Geldof作简报（关于 " 发展格伦伊格尔斯 " ）	83	215
实际中地理位置意味着临近纷争的国家超负荷地接收绝大部分难民	29	87
划得不错 小汉克！	8	24
向每个大学生平均拨款4,000立特。	18	44
向阿斯加德最睿智的人寻求建议	14	42
67. 委员会敦促早日通过《家庭法法案》并要求使关于所有社区家庭关系的法律符合《宪法》和《公约》。	48	138
秘书长关于联合国科索沃临时行政当局特派团的报告	23	69
(d) 纠正员额不足情况，特别是社会工作者不足的情况；	26	72
该议程第11段直接论及无家可归问题，强调这种现象给健康、治安甚至生命本身造成的威胁。	42	122
你们都放心 好吗？	8	24
因为有时如果我说点什么 ， 会有这个害怕、那个担心 ， 比如 ： 恐怕我会触犯军规 ， 或恐怕我会挑起事端 ， 所以通常保持沉默 ， 什么也不说。	61	183
这真的是唯一的方法了 杰克	12	36
这一时限已得到咨询委员会的核可。	16	48
一般法律事务司成功解决了对联合国的索赔，节省了270万美元，同时在所有诉讼中成功维护了本组织的地位及特权和豁免。	56	162
那是我们的通讯员	8	24
非洲开发银行的城市发展政策获得核准,为今后与该银行合作提供了机会。	33	97
而她还在千里之外 公平的说Marcel	18	42
三万米、一万五千米、一千米 五百米、一百米...	23	63
安理会还鼓励各方为达成争端的政治解决而加紧努力。	24	72
通过这项决议草案只会更加干扰我们在该区域进行真正可行的努力，而对格鲁吉亚方与阿布哈兹方和南奥塞梯方之间建立信任则毫无助益，而这种信任是解决问题 -- -- 包括与暂时流离失所者和难民相关的问题 -- -- 的必要条件。	103	293
秘书处向人权委员会第六十二届会议提交了一份说明（E/CN.4/2006/25），载有小组委员会第五十七届会议讨论的有关发展权问题的意见和观点概要。	73	191
走开 哈里 这是我的地方	10	30
除非所在企业倒闭，否则处于孕期，产期以及产后头十二个月的女工有权暂时推迟单方面解除劳动合同的行为并延长考虑纪律措施的时限。	61	183
7. 请在此提出将列入关于采用国际公共部门会计准则进度报告的进一步(简要)评论意见。	41	115
是的 真希望如此	7	21
打击布基纳法索暴力侵害妇女现象方面取得的显著成果以及存在的制约	31	93
荷兰艺术家	5	15
也知道我想说什么话	9	27
你要做跳跃吗	6	18
2． 东帝汶地势崎岖，北部海岸沿岸高山耸立。	21	61
提高认识和宣传权利的方案。	13	39
关于德国国内大气中各种浓度五氯苯排放源影响的研究显示，工业区或城市地区的五氯苯浓度（从0.057到0.286纳克/立方米不等）高于一个农村参考地点的浓度（0.031纳克/立方米）（化学协会国际理事会/世界氯理事会，2007年引自Wenzel等人，2006年）。	130	326
- 我敢说他们会走	8	22
- 如何睡眠？	6	16
火头迟早烧到我们身上	10	30
明知会败诉的案件 你应该自己接受委托 为什么要不负责任地推给同事们？	32	96
对不起 吓到你了吗	8	24
我会经过快速安检扫描	10	30
死几个人？	5	15
除了适足食物权之外，《经济、社会、文化权利国际公约》也明确宣示了 " 人人享有免于饥饿的基本权利 " 。	48	140
公务员（包括补贴部门）	11	33
这段时间你一直在家 坐在厕所里？	15	45
政府估计普通人口(边缘人口)占总人口的77%。	23	59
退出吧 好吗?	6	16
哥哥 阿玲，我在这	8	24
岸外经营金融服务类别也从基本的信息技术数据处理和后勤服务活动转向增值更高的服务，包括前台活动。	47	141
我们认为这事可以信任你.	12	34
－哈莉和ＴＤＫ －回旋镖	11	33
这是STR劳利的客户名单	12	30
我们一起建路 一起执行计划	12	36
这孩子已经做得不错了	10	30
最初 我们认为它只是一个简单的装饰	16	48
对于其他所有年度，缔约方应报告上一个标准电子格式表6中填报的《京都议定书》单位总量	41	121
毕竟你救了我们那么多次	11	33
明早，秦军大营见	8	24
-杰文	3	7
安德烈 请你谅解 我没有...	13	33
在司法部长下达一项指示之后，最近特别军事行动区被 " 紧急控制区 " 所取代；其目的在于通过发展和教育改造优先重视和平行动，但紧急控制区的规定中并未澄清武装部队在逮捕方面的作用。	85	251
- 你们在哪里?	7	17
但是，应当给工作组更多时间编写报告，并在会议之前向更广泛的受众分发以征求意见。	39	117
我们不只能喂饱他 帮他擦屁股都没问题	17	51
22. 阿丹女士强调增进和保护妇女人权不应被政治化。	25	69
65年前，战胜邪恶使联合国得以创立，其基础是各国人民和人类平等的原则。	35	101
明天以前不行	6	18
这一案例涉及到法院根据1994年《归还土地法》作出的有利于纳马土著人Richtersveld社区的判决，其独特之处在于，南非第一次审议土著土地所有权的学说。	78	202
讲习班认识到通过小型卫星方案开展空间活动所能得到的十分重要的附带利益。	35	105
洛奇 我们准备好了	8	24
它是把看到的画出来吗？	11	33
不 不是狗 其实是猪肉香肠	11	33
这种方法管理起来很简单，可通过适用一次性总付而不是因人而异的安全疏散展期月津贴来进行；它将确保情况类似的工作人员获得公平对待，它也会因为与流动和艰苦条件津贴等类似津贴的审查周期相同而导致实现效率。	98	294
27. 自上一次第二份报告作出阐述以来，在就业领域的法律框架和行政管理等各方面都发生了很大变化。	47	135
32. 根据第64条和第65条，鼓励原籍国和就业国开展以下方面的合作：	34	88
2006年9月至2007年7月达尔富尔的重大安全事件	26	58
资料来源：《消除对妇女一切形式歧视公约》2006年实地调查。	30	82
我们必须通力合作，加强努力，实现以巴冲突的公正、全面和持久解决。	32	96
你骂我吧	4	12
没机会了	4	12
㈢ 第7条(商业利润)： " 吸引力 " -- -- 对其运作的审议和解释；	31	75
可以考虑有关储存方面的自愿建立信任措施，以提高透明度。	27	81
-我们看见了幽浮	8	22
由于海港建设的开始又一次推迟，设法动员资源以支付考察团费用的努力已在1999年中止。	42	118
使用它们，因为这样做监狱。	13	39
63. 总统应急方案为应急而设立，主要目的在于以最快速度恢复部分公共部门职能，并快速满足受灾群众的基本需求。	53	153
* 编制、保持和更新联合国驻非洲联盟办事处特有的安全计划、应急计划和办事处雇员及其承认的受扶养人安全清单，并协助制定国家特有的安全计划，确保向安全地区迁移/撤离的计划是现实、可行和可以实现的	94	278
该法撤销了涉及下列情况的所有零散法律；在私营、合作和混合制企业框架内建立的附属劳动关系；以及个人根据雇用合同，按照公法或视为公法，在各自管理机构的指导和命令下，向法人提供其专业活动的所有情形，但不具有公共行政部门的法律地位。	112	336
举行有关妇女权利和本州司法框架（预防家庭暴力和提供救助的104法）的会议。	37	105
现已择定一名候选人担任此职；	14	42
无第二阶段竞争的封闭式框架协议所涉采购的第二阶段	24	72
28. 8月24日，格鲁吉亚的大众媒体报道称，8月22日，一架身份不明的飞机侵犯了科多里河谷上游格鲁吉亚的领空，被当地格鲁吉亚边防哨兵击落。	69	189
